Monthly,AUD/USD Exchange Rate,Australian Dollar Trade-weighted Index
Jan-18,0.8073,65.6
Feb-18,0.7792,63.6
Mar-18,0.7665,62.3
Apr-18,0.757,62.1
May-18,0.7564,62.8
Jun-18,0.7391,62.6
Jul-18,0.7431,63.5
Aug-18,0.726,62.2
Sep-18,0.7222,62.2
Oct-18,0.7085,61.9
Nov-18,0.7316,63.3
Dec-18,0.7058,60.7
Jan-19,0.7268,61.6
Feb-19,0.7146,60.7
Mar-19,0.7087,60.5
Apr-19,0.7039,60.5
May-19,0.6916,60
Jun-19,0.7013,60.1
Jul-19,0.6894,59.5
Aug-19,0.6718,58.9
Sep-19,0.6749,59.2
Oct-19,0.6926,60
Nov-19,0.6777,59
Dec-19,0.7006,60.3
Jan-20,0.6724,58.1
Feb-20,0.6524,57
Mar-20,0.6175,54.7
Apr-20,0.6566,57.8
May-20,0.6659,58.8
Jun-20,0.6863,60
Jul-20,0.7213,61.9
Aug-20,0.7354,62.6
Sep-20,0.7108,60.7
Oct-20,0.7044,59.5
Nov-20,0.7393,61.5
Dec-20,0.7702,63.4
Jan-21,0.7645,63
Feb-21,0.7829,64.5
Mar-21,0.7602,63.9
Apr-21,0.7776,64.4
May-21,0.7725,63.5
Jun-21,0.7518,62.7
Jul-21,0.7381,61.6
