State,Month,Year,Number
VIC,Jan,2017,60
VIC,Feb,2017,51
VIC,Mar,2017,69
VIC,Apr,2017,50
VIC,May,2017,51
VIC,June,2017,52
VIC,July,2017,67
VIC,Aug,2017,59
VIC,Sept,2017,40
VIC,Oct,2017,62
VIC,Nov,2017,60
VIC,Dec,2017,67
VIC,Jan,2018,45
VIC,Feb,2018,51
VIC,Mar,2018,65
VIC,Apr,2018,63
VIC,May,2018,53
VIC,June,2018,51
VIC,July,2018,68
VIC,Aug,2018,56
VIC,Sept,2018,55
VIC,Oct,2018,64
VIC,Nov,2018,71
VIC,Dec,2018,60
VIC,Jan,2019,73
VIC,Feb,2019,61
VIC,Mar,2019,54
VIC,Apr,2019,57
VIC,May,2019,65
VIC,June,2019,54
VIC,July,2019,54
VIC,Aug,2019,62
VIC,Sept,2019,55
VIC,Oct,2019,65
VIC,Nov,2019,55
VIC,Dec,2019,65
VIC,Jan,2020,66
VIC,Feb,2020,64
VIC,Mar,2020,74
VIC,Apr,2020,54
VIC,May,2020,58
VIC,June,2020,57
VIC,July,2020,63
VIC,Aug,2020,57
VIC,Sept,2020,50
VIC,Oct,2020,51
VIC,Nov,2020,68
VIC,Dec,2020,52
VIC,Jan,2021,56
VIC,Feb,2021,51
VIC,Mar,2021,67
VIC,Apr,2021,48
VIC,May,2021,54
VIC,June,2021,56
NSW,Jan,2017,88
NSW,Feb,2017,82
NSW,Mar,2017,96
NSW,Apr,2017,74
NSW,May,2017,78
NSW,June,2017,70
NSW,July,2017,74
NSW,Aug,2017,65
NSW,Sept,2017,63
NSW,Oct,2017,79
NSW,Nov,2017,81
NSW,Dec,2017,93
NSW,Jan,2018,75
NSW,Feb,2018,63
NSW,Mar,2018,70
NSW,Apr,2018,67
NSW,May,2018,67
NSW,June,2018,55
NSW,July,2018,96
NSW,Aug,2018,57
NSW,Sept,2018,75
NSW,Oct,2018,79
NSW,Nov,2018,57
NSW,Dec,2018,13
NSW,Jan,2019,75
NSW,Feb,2019,72
NSW,Mar,2019,91
NSW,Apr,2019,56
NSW,May,2019,67
NSW,June,2019,67
NSW,July,2019,74
NSW,Aug,2019,77
NSW,Sept,2019,85
NSW,Oct,2019,91
NSW,Nov,2019,92
NSW,Dec,2019,95
NSW,Jan,2020,81
NSW,Feb,2020,63
NSW,Mar,2020,87
NSW,Apr,2020,58
NSW,May,2020,66
NSW,June,2020,69
NSW,July,2020,86
NSW,Aug,2020,86
NSW,Sept,2020,76
NSW,Oct,2020,62
NSW,Nov,2020,77
NSW,Dec,2020,88
NSW,Jan,2021,107
NSW,Feb,2021,54
NSW,Mar,2021,78
NSW,Apr,2021,67
NSW,May,2021,78
NSW,June,2021,60
