WeekNo,Total_2021,Total_2020,Total_2015-2019 average,Males_2021,Males_2020,Males_2015-2019 average,Females_2021,Females_2020,Females_2015-2019 average,Cause - Respiratory_2021,Cause - Respiratory_2020,Cause - Respiratory_2015-2019 average,Cause - Influenza and pneumonia_2021,Cause - Influenza and pneumonia_2020,Cause - Influenza and pneumonia_2015-2019 average,Cause - Pneumonia_2021,Cause - Pneumonia_2020,Cause - Pneumonia_2015-2019 average,Cause - Chronic lower respiratory conditions_2021,Cause - Chronic lower respiratory conditions_2020,Cause - Chronic lower respiratory conditions_2015-2019 average,Cause - Cancer_2021,Cause - Cancer_2020,Cause - Cancer_2015-2019 average,Cause - Ischaemic heart diseases_2021,Cause - Ischaemic heart diseases_2020,Cause - Ischaemic heart diseases_2015-2019 average,Cause - Cerebrovascular diseases_2021,Cause - Cerebrovascular diseases_2020,Cause - Cerebrovascular diseases_2015-2019 average,Cause - Dementia including Alzheimers_2021,Cause - Dementia including Alzheimers_2020,Cause - Dementia including Alzheimers_2015-2019 average,Cause - Diabetes_2021,Cause - Diabetes_2020,Cause - Diabetes_2015-2019 average
Wk-01,7.532,7.463,8.173,8.842,8.558,9.328,6.405,6.498,7.178,0.623,0.703,0.755,0.072,0.128,0.148,0.072,0.119,0.137,0.401,0.372,0.442,2.782,2.632,2.973,0.661,0.629,0.85,0.485,0.41,0.573,0.687,0.711,0.708,0.245,0.251,0.231
Wk-02,7.376,7.547,8.142,8.474,8.75,9.228,6.422,6.528,7.209,0.606,0.707,0.712,0.079,0.111,0.134,0.079,0.111,0.128,0.333,0.434,0.411,2.713,2.796,2.978,0.626,0.648,0.809,0.428,0.483,0.565,0.693,0.748,0.688,0.188,0.213,0.242
Wk-03,7.812,7.515,8.04,9.016,8.8,9.387,6.737,6.411,6.904,0.633,0.663,0.663,0.092,0.115,0.119,0.092,0.102,0.111,0.375,0.368,0.387,2.803,2.834,2.974,0.717,0.675,0.857,0.467,0.412,0.528,0.837,0.718,0.668,0.223,0.214,0.271
Wk-04,7.371,7.843,7.993,8.491,8.842,9.091,6.392,6.956,7.026,0.621,0.723,0.707,0.069,0.13,0.113,0.069,0.125,0.105,0.345,0.407,0.416,2.697,2.912,2.971,0.634,0.721,0.765,0.441,0.47,0.552,0.78,0.694,0.666,0.178,0.229,0.265
Wk-05,7.761,7.505,7.996,9.075,8.507,9.162,6.668,6.645,7.021,0.663,0.667,0.702,0.097,0.095,0.125,0.097,0.086,0.114,0.372,0.402,0.405,2.807,2.58,2.939,0.715,0.688,0.842,0.462,0.472,0.531,0.7,0.767,0.675,0.25,0.243,0.253
Wk-06,7.402,7.643,8.022,8.438,8.707,9.143,6.522,6.71,7.068,0.588,0.609,0.681,0.076,0.113,0.112,0.076,0.113,0.106,0.326,0.333,0.39,2.748,2.9,2.926,0.711,0.608,0.833,0.447,0.471,0.523,0.644,0.777,0.685,0.23,0.292,0.281
Wk-07,7.368,7.854,8.033,8.682,8.955,9.184,6.222,6.9,7.045,0.577,0.671,0.701,0.103,0.124,0.138,0.103,0.109,0.132,0.324,0.385,0.39,2.754,2.903,2.912,0.594,0.752,0.787,0.492,0.486,0.541,0.697,0.724,0.687,0.211,0.245,0.246
Wk-08,7.692,7.86,8.14,8.461,9.223,9.404,6.975,6.668,7.054,0.658,0.646,0.668,0.097,0.117,0.132,0.097,0.114,0.122,0.377,0.394,0.361,2.901,2.938,3.041,0.682,0.778,0.794,0.472,0.42,0.556,0.734,0.751,0.689,0.176,0.286,0.248
Wk-09,7.609,8.094,8.138,8.781,9.098,9.357,6.584,7.188,7.093,0.564,0.792,0.684,0.062,0.157,0.13,0.062,0.149,0.122,0.348,0.433,0.372,2.86,2.984,3.093,0.769,0.662,0.815,0.473,0.469,0.521,0.779,0.801,0.684,0.275,0.278,0.259
Wk-10,7.837,7.811,8.248,8.78,9.141,9.481,6.999,6.707,7.192,0.64,0.682,0.692,0.104,0.123,0.119,0.104,0.111,0.111,0.353,0.397,0.4,2.843,2.765,3.091,0.697,0.706,0.819,0.407,0.45,0.542,0.849,0.759,0.697,0.325,0.234,0.245
Wk-11,7.746,7.755,8.059,8.983,8.976,9.232,6.672,6.665,7.039,0.674,0.642,0.655,0.117,0.116,0.12,0.117,0.1,0.111,0.394,0.361,0.364,2.867,2.812,2.97,0.624,0.675,0.78,0.428,0.484,0.576,0.787,0.722,0.75,0.264,0.259,0.259
Wk-12,7.728,8.099,8.236,8.975,8.778,9.552,6.685,7.515,7.144,0.542,0.774,0.697,0.073,0.161,0.126,0.073,0.149,0.118,0.314,0.424,0.404,2.842,2.965,3.024,0.661,0.718,0.797,0.445,0.434,0.555,0.72,0.784,0.756,0.282,0.258,0.258
Wk-13,7.752,8.352,8.223,9.021,9.893,9.549,6.678,7.041,7.124,0.712,0.841,0.729,0.091,0.203,0.123,0.091,0.186,0.115,0.428,0.454,0.424,2.787,2.796,3.007,0.63,0.737,0.832,0.48,0.509,0.537,0.779,0.893,0.746,0.233,0.281,0.259
Wk-14,7.378,8.507,8.223,8.025,9.639,9.621,6.776,7.54,7.045,0.566,0.808,0.737,0.083,0.196,0.143,0.083,0.196,0.133,0.321,0.421,0.413,2.54,2.972,2.949,0.718,0.718,0.838,0.485,0.542,0.561,0.778,0.858,0.73,0.238,0.333,0.239
Wk-15,8.136,8.289,8.336,9.423,9.527,9.639,7.028,7.224,7.244,0.751,0.699,0.715,0.105,0.181,0.145,0.105,0.178,0.128,0.458,0.369,0.407,2.931,2.855,2.989,0.741,0.682,0.845,0.468,0.574,0.568,0.707,0.813,0.735,0.225,0.317,0.253
Wk-16,8.079,7.982,8.395,9.352,9.185,9.734,6.909,6.965,7.256,0.681,0.662,0.748,0.085,0.177,0.147,0.085,0.168,0.127,0.38,0.306,0.407,2.734,2.732,3.035,0.718,0.777,0.87,0.479,0.497,0.588,0.774,0.824,0.732,0.324,0.329,0.282
