Date,Total Unemployment Population,Population Actively Looking For Work ,Australian Unemployment Rate,Male Unemployment Rate,Female Unemployment Rate,Youth Unemployment Rate,Monthly cases
Jan-17,777.65,562.12,6.14,6.03,6.27,12.3,0
Feb-17,820.27,566.99,6.35,6.13,6.59,12.9,0
Mar-17,803.38,544.88,6.22,5.94,6.53,13,0
Apr-17,730.72,509.02,5.66,5.28,6.09,12.6,0
May-17,704.48,483.57,5.44,5.32,5.57,12.6,0
Jun-17,706.15,490.89,5.45,5.38,5.53,13,0
Jul-17,712.32,485.19,5.49,5.55,5.42,12.8,0
Aug-17,714.56,490.57,5.51,5.54,5.49,12.7,0
Sep-17,692.49,470.8,5.32,5.4,5.22,12.5,0
Oct-17,666.82,463.83,5.12,5.06,5.19,12.1,0
Nov-17,661.36,464.94,5.04,5.07,5.01,12.4,0
Dec-17,716.93,494.18,5.4,5.6,5.17,12.4,0
Jan-18,780.06,548.49,5.96,5.89,6.04,12.2,0
Feb-18,805.67,560.3,6.04,5.87,6.24,13.2,0
Mar-18,777.8,546.03,5.86,5.73,6.01,12.3,0
Apr-18,740.58,503.98,5.58,5.5,5.67,12.4,0
May-18,702.17,485.85,5.29,5.2,5.39,11.5,0
Jun-18,687.89,492.13,5.17,5.32,5.01,11.2,0
Jul-18,689.92,494.53,5.2,5.31,5.08,11,0
Aug-18,698.35,486.23,5.27,5.24,5.31,11.7,0
Sep-18,648.35,433.59,4.89,4.82,4.97,11.5,0
Oct-18,634.15,419.85,4.77,4.79,4.76,11.4,0
Nov-18,634.78,443.78,4.75,4.85,4.62,11.6,0
Dec-18,648.77,450.38,4.81,4.86,4.75,11.3,0
Jan-19,726.91,508.32,5.45,5.33,5.59,11.5,0
Feb-19,727.8,500,5.38,5.27,5.5,11.1,0
Mar-19,731.77,499.37,5.41,5.31,5.53,11.8,0
Apr-19,713.96,494.44,5.27,5.18,5.38,11.9,0
May-19,694.32,484.46,5.1,5.1,5.1,11.9,0
Jun-19,691.96,480.46,5.09,5.04,5.15,12,0
Jul-19,702.61,515.14,5.17,5.21,5.13,11.9,0
Aug-19,714.38,490.05,5.26,5.36,5.15,11.8,0
Sep-19,691.79,471.64,5.08,5.37,4.75,11.7,0
Oct-19,685.8,468.68,5.05,5.23,4.84,12.5,0
Nov-19,653.71,463.82,4.79,4.94,4.62,11.6,0
Dec-19,666.96,472.2,4.85,5.12,4.54,11.7,0
Jan-20,775.04,552.71,5.7,5.78,5.6,12.2,9
Feb-20,761.05,511.93,5.51,5.57,5.44,12.2,16
Mar-20,765.47,532.26,5.56,5.53,5.59,11.6,4334
Apr-20,850.35,639.53,6.41,6.59,6.21,14,2387
May-20,904.56,678.4,6.91,6.93,6.88,15.8,439
Jun-20,966.39,721.13,7.23,7.27,7.2,16.3,582
Jul-20,994.39,731.32,7.38,7.46,7.3,16.4,8536
Aug-20,921.51,688.22,6.83,7.08,6.56,13.9,9367
Sep-20,908.95,676.22,6.74,7.11,6.33,14.6,1393
Oct-20,906.9,641.53,6.65,6.67,6.62,15.6,519
Nov-20,874.5,634.32,6.36,6.2,6.53,15.7,311
Dec-20,872.55,635.33,6.29,6.52,6.04,14,488
Jan-21,936.77,671.94,6.85,6.96,6.74,14,425
Feb-21,872.79,618.41,6.28,6.43,6.11,13,159
Mar-21,830.58,572.13,5.98,6.14,5.81,11.7,331
Apr-21,761.03,525.71,5.52,5.66,5.37,10.6,483
May-21,692.04,484.69,4.99,5.22,4.72,10.7,319
Jun-21,667.37,458.66,4.82,5.02,4.61,10.2,464
Jul-21,632.44,441.36,4.59,4.61,4.57,10.2,3347
